main_tweet,Ad Hominem,Appeal to Fear,Appeal to Ridicule,False Dilemma,Hasty Generalization,Loaded Language,None of the above
" [user104337]: @user @user ... @user Now you screw up my compliment. 😅😅😅 Here is a question I have wanted to ask 1 of these ""hotheads."" If you are mad at THAT COP, why didn't you attack HIS NEIGHBORHOOD ? Selective bullying, afraid they will blast you into next week ? 
 ",1,0,0,0,0,0,0
" [user1779]: @user @user ... @user we pulled up to Chauvin's house after he murdered Floyd and they had hundreds of guards protecting him. they know what they're doing and we know. we're not gonna advance that way. we need to advance thru professional athletes and celebrities that people look up to 
 ",0,0,0,0,0,0,1
" [user79987]: @user @user ... @user It's like talkin to a fkn wall. Keep doin what you do your heads in the right spot kid!💪💪💪 
 ",1,0,0,0,0,0,0
" [user1779]: @user @user ... @user thanks fam!🙏🏾means a lot coming from a vet🤙🏾 
 ",0,0,0,0,0,0,1
" [user47446]: @user @user ... @user Circle jerking each other and getting nothing done.. I don't give a damn if he's a vet. I have two brothers that are/were Marines and their thoughts are wildly different from each other. Don't take someone's word just cuz he held a profession. If he was a cop would it be the same 
 ",0,0,0,0,0,1,0
" [user1779]: @user @user ... @user it would. it's called credibility. to know a vet supports my mindset is important to me personally. give a damn about what you think 
 ",0,0,0,0,0,0,1
" [user79987]: @user @user ... @user Smfh at these responses from these 2. The minute someone starts saying you should look at things differently- or the way they see it - is a big red flag. Trust your eyes & your gut. The rest is just noise. Question everything. 
 ",0,0,0,0,0,0,1
" [user47446]: @user @user ... @user ""the minute someone shows you a different perspective of thought process, it's a big red flag, don't trust them"" is that how you want to lead your life? Don't listen to someone with opposing views? 
 ",0,0,0,0,0,0,1
" [user79987]: @user @user ... @user Opposing views? You don't know me. The kid could teach you a lesson in comprehension. He sees we have the same views. Imagine that? And unlike both of you he has a PLAN. My tweet stream is there...I made myself clear. Haven't deleted anything. Stop & think b4 u respond. 
 ",0,0,0,0,0,0,1
" [user104337]: @user @user ... @user Youngblood has emotions, he is asking NBA Players to do his dirty work. It's not intelligent to tell black men to refuse to go to work. Youngblood thinks it has to be 1 or the other = go back to work or protest , but you can do both. 
 ",0,0,1,0,0,0,0
" [user79987]: @user @user ... @user We all should have emotions when it comes to racism. If you keep seeing the same thing over and over does that make you immune to it? Its fkd up. Youngblood knows it take body blows to wear out a huge opponent. He's tactical. He has a plan. 
 ",0,0,0,0,0,1,0
" [user104337]: @user @user ... @user No black man should think that you need to refuse to go to work. That is ass-backwards rhetoric, not strategic at all. Those protests need to be financed, UNDERSTAND ? 
 ",0,0,0,0,1,0,0
" [user79987]: @user @user ... @user Are you saying all vendors, concession stand workers in every arena is black? You think it's just black men or women that are making more on unemployment than working a minimum wage job? 
 ",0,0,0,0,0,0,1
" [user47446]: @user @user ... @user I think he just means no matter what color you are, you need that money and boycotting the NBA affects the people who really need the money too. Do you think those BLM GoFundMe are putting money in their pockets or in protestors pockets? 
 ",0,0,0,0,0,0,1
" [user47446]: @user @user ... @user This guy is really good at diversion. He hasn't answered a single question and keeps cosigning the young black kid. You don't get brownie points for not having your own beliefs Pete. 
 ",1,0,0,0,0,0,0
" [user79987]: @user @user ... @user LMFAO 
 ",0,0,0,0,0,0,1
" [user47446]: @user @user ... @user Dude I don't even agree with Dre on most of the things he's posted. But at least he has his own opinion and mindset and I understand him. You just give off a creepy let me agree with you vibe and that's it. No substance. 
 ",1,0,0,0,0,0,0
" [user1779]: @user @user ... @user this man has been speaking his own views since this shit started. we just share views😂how are you debating against us but you don't agree with somebody else who is against us💀me and Pete been on the same level tho cuz what we're saying is on topic and makes sense 
 ",0,0,0,0,0,1,0
" [user104337]: @user @user ... @user Your friend Pistol Pete just said don't worry, you get more money from an unemployment check than a minimum wage check at a sports arena. NUT CHECK TIME !!! Do you (youngblood) agree with Pistol Pete's statement ? Don't hide either. 
 ",0,0,1,0,0,0,0
" [user1779]: @user @user ... @user yes LMAOO my mom and brother got laid off but are making more money right now from unemployment😂and they was making more than minimum wage💀able to save more too so when they do get another job, they'll be set already. 
 ",0,0,0,0,0,0,1
" [user47446]: @user @user ... @user Will that job be better than the minimum wage job they were holding before being laid off? How can they build a resume by not working? This shit right here puts our people back and sets them up for a welfare state 
 ",0,0,0,0,0,1,0
" [user79987]: @user @user ... @user It'll be called a lapse in time due to COVID...millions of people will use it. 
 ",0,0,0,0,0,0,1
" [user47446]: @user @user ... @user If millions of people are doing crack, is that okay? Just cuz something is popular doesn't mean it's right. 
 ",0,0,1,0,0,0,0
" [user79987]: @user @user ... @user False. Crack is a choice. A once in a generation work stoppage is not. 
 ",0,0,0,0,0,0,1
" [user47446]: @user @user ... @user False. The Spanish flu killed more people and we didn't stop the economy then. .2% fatality rate gives a choice. You could make the debate crack wasn't a choice for the black community but they were infested with it. 
 ",0,0,0,0,0,0,1
" [user79987]: @user @user ... @user Lol we could look at the same picture & see something completely different. But, that's ok. I'm out fellas ✌✌✌ 
 ",0,0,1,0,0,0,0
" [user47446]: @user @user ... @user Yup, that's ok for people to have different views. That's why we're such a great country cuz we keep on trucking no matter what. Nba starting up won't stop people that want change to happen from implementing that change. 
 ",0,0,0,0,0,0,1
" [user1779]: @user @user ... @user so u don't think in the slightest bit that the blm movement is gonna lose coverage as it has in the past? cuz we've marched multiple times but this was different because 1. riots are always covered 2. covid. nothing was going on on tv. i think resuming will kill the momentum no? 
 ",0,0,0,0,0,0,1
" [user5390]: 'The defence secretary, Ben Wallace, has angrily accused Labour of taking Britain into ""illegal wars"" when the party was last in government in a heated Commons exchange during the second reading of an armed forces bill 
 ",0,0,0,0,0,0,1
" [user5390]: for British soldiers serving overseas ""Much of the mess we are having to come and clean up today is because of your illegal wars, your events in the past,"" Wallace said, accusing Healey of making ""wild allegations"" about the intentions of the bill 
 ",0,0,0,0,0,0,1
" [user5390]: A surprised Healey said: ""That is not worthy of the office of the secretary of state for defence. We are dealing with matters of torture, war crimes, [Ministry of Defence] negligence, compensation for injured troops and compensation for the families... 
 ",0,1,0,0,0,0,0
" [user5390]: who have lost their loved ones overseas"" The last time a minister had suggested a war was illegal at the despatch box was Nick Clegg describing the Iraq war in 2010, a statement that he was forced to clarify amid concern it could expose the government to legal action' 
 ",0,0,0,0,0,0,1
" [user5390]: It is always astute to talk of loved ones in reference to soldiers But frankly there is nothing worthy in the British system... the brits have learned by way of regurgitating fire and brimstone in the Torah's 'wars against state' to talk State language and apply it to government 
 ",0,0,0,0,1,1,0
" [user5390]: They think State means their interest, the prerogative of government and country... It means none of those things... a minister is never 'worthy' in foreign affairs for defending wars come what may, avoiding applying 'illegal' to government action, for focusing on human rights.. 
 ",0,0,0,0,0,0,1
" [user5390]: Worthiness (and State action) means obeying the over-riding imperative of the situation, as seen with a seeing eye on the future... If that imperative should be the retreat of the Roman Empire, or else it should be the razing of Carthage, so be it... 
 ",0,0,0,0,0,0,1
" [user5390]: The West is not Rome, and should not use those kinds of terms, because it does not know what worthiness is... 
 ",0,0,0,0,0,0,1
" [user5390]: Worth is actually related to world... it is a State word, only because its implied meaning is 'that above national concerns'... 
 ",0,0,0,0,0,0,1
" [user5390]: Sadly, dictionaries do not tell you that meaning... of worth, that is... it has unknown origins, apparently 
 ",0,0,0,0,0,0,1
" [user5390]: 'Old English weor ""significant, valuable, of value; valued, appreciated, highly thought-of, deserving, meriting; honorable, noble, of high rank; suitable for, proper, fit, capable,"" from Proto-Germanic *wertha- ""toward, opposite,"" hence ""equivalent, worth""... 
 ",0,0,0,0,0,0,1
" [user5390]: (source also of Old Frisian werth, Old Norse verr, Dutch waard, Old High German werd, German wert, Gothic wairs ""worth, worthy""), which is of uncertain origin. Perhaps a derivative of PIE *wert- ""to turn, wind,"" from root *wer- ""to turn, bend."" ' 
 ",0,0,0,0,0,0,1
" [user5390]: A declaration of emergency is self evident... it is when the Constitution is suspended... State events are when a Constitutional change is discussed, or when the Emperor, or a more senior Monarch from abroad, visits... 
 ",0,0,0,0,0,0,1
" [user5390]: (Since there is only one monarch more senior to His Imperial Majesty, Bahadur... that being His Great and Excellent Majesty, the King of Mede, whose royal person, the Mogul Emperor is, you don't have to worry about holding joint sessions for foreign leaders) 
 ",0,0,0,0,0,0,1
" [user5390]: The PM usurped the rights of the Emperor, in calling for a joint session to pass an ordinary law... do not think this treachery will be forgotten... that PM, like Musharraf, will hang... 
 ",0,0,0,0,0,1,0
" [user5390]: 'Motorway rape occurred because victim travelled 'late night without husband's permission', CCPO tells Senate panel' 
 ",0,0,0,1,0,0,0
" [user5390]: Treason is treason, not just when a party has taken foreign funding, not just when one is sitting abroad, allowing foreign media to influence your messages to the people, not just when you talk to the enemy, like Modi, without guarantees of withdrawal from Kashmir... 
 ",0,0,0,0,0,0,1
" [user5390]: but also when one steps over institutional limits of a State nature... When this is done by government, or by a high body, or by the Army, playing media politics, the consequences for discipline and loyalty to the State, the order of things, can be catastrophic 
 ",0,1,0,0,0,0,0
" [user5390]: Democracy is not the mother of the State, or the nation, or culture.. Rather democracy is a gift of the State... a mechanism that widens participation while firmly embedding it within the rules of constitutional - unchanging - conduct, which is only amended by a change in nation 
 ",0,0,0,0,0,0,1
" [user5390]: Conduct, as defined by the compact of nation, the degree of decorum shown by persons and officials, precedes law and democracy (majority decision making)... Conduct and tradition, are the basis of true law in action, known as precedence... ie over-ride over all other laws 
 ",0,0,0,1,0,0,0
" [user5390]: What constitutes the conduct that is expected... obedience to law, to procedure, deference in respect to speaking to a judge, respect to inviolable sanctities that are central to the nation like Islam, the oath to military obedience, the preserve of family... 
 ",0,0,0,1,0,1,0
" [user5390]: and the home where what happens is 9/10ths outside of law, unless the State is empowered to act (ie a danger of fire spreading, or a crying child; domestic abuse of wives/husbands does not count, as an adult can leave)... 
 ",0,0,0,1,0,0,0
" [user5390]: Conduct is defined by State interests... 
 ",0,0,0,0,0,0,1
" [user5390]: By that, we mean that changes in conduct can only be heeded if a State interest is named.. If you wish respect for rape victims, who travel in the dark without basic precautions... ie you want officials to 'care' for their wobbles in life, you must first change human male nature 
 ",0,0,0,1,0,0,0
" [user5390]: To make the silly-shally a part of life... you must first justify why you want disparaging male nature to change... to satisfy what idiocy of weakness, and what State interest is served by weakening the male aggression that serves the State in warfare... 
 ",0,0,0,1,0,1,0
" [user5390]: Understanding the State is not a good idea for weak minds, because unlike wishy-washy government where any idiot can come to power, its rules are formed by the nature of things, not by a choice in life, or a popularity contest 
 ",0,0,0,0,0,1,0
" [user5390]: Listen well... the West is arrogant in its filth... because unlike the typical short half lives (60 to 150 years) of nations that went before it, it believes that in the last 300 years, with industrialised and central control it has stabilised all government rule and all borders 
 ",0,0,0,0,1,1,0
" [user5390]: Its folly, in defying normal behaviour, will catch up with it soon... the State is stronger and always punishes deviance in government eventually... and the Protestants are in the main deviants 
 ",0,0,0,1,0,0,0
" [user5390]: 'PML MPA calls Nawaz 'traitor' but won't quit his seat' 
 ",0,0,0,0,0,0,1
" [user5390]: The leader of the rebels in Punjab, is quite right... Nawaz is a traitor, for more reasons than one... he sits abroad, absconding, lying about his medical condition... and says he wants to rule over the Muslim League, and the nation with charters of lies 
 ",1,0,0,0,0,0,0
" [user5390]: The Sharifs dare sully the name of Muslim League, and demand that others leave it... 
 ",0,0,0,0,0,1,0
" [user5390]: Convicted criminals cannot claim the name... 
 ",0,0,0,0,0,0,1
" [user5390]: 'Ex-President of Pakistan Is Indicted on Money Laundering Charges' 
 ",0,0,0,0,0,0,1
" [user5390]: We look forward to the rest being indicted too... the courts once again admonished the NAB chief to deal with all cases, and spare no one... 
 ",0,0,0,0,0,0,1
" [user5390]: 'SC says NAB selective, spares those it 'approves of' ' 
 ",0,0,0,0,0,0,1
" [user5390]: WHERE are the cases against Imran Khan? 
 ",0,0,0,0,0,1,0
" [user5390]: 'The Supreme Court slammed the National Accountability Bureau (NAB) for being selective in its proceedings and allegedly sparing those it ""approved of"" 
 ",0,0,0,0,0,1,0
" [user5390]: Justice Maqbool Baqar noted that NAB's inequitable approach had affected its image and the people did not believe in NAB's credibility and impartiality ""The bureau seems reluctant in proceeding against people on one side of the political divide even in respect of financial scams 
 ",0,0,0,0,0,0,1
" [user5390]: of massive proportion while those on the other side are being arrested and incarcerated for months and years..."" ' 
 ",0,0,0,0,0,1,0
" [user5390]: Let's catch up with Biden's response to the allegations of drug taking... the Democrats have put a man-eating, pissing female on the job... 
 ",1,0,0,0,0,0,0
" [user5390]: 'Biden team reacts to Trump's call for drug test' 
 ",0,0,0,0,0,0,1
" [user5390]: Did they reject the drug allegations... no sign of that in the article... 
 ",0,0,0,0,0,0,1
" [user5390]: 'A member of Joe Biden's campaign has given a bizarre response to Donald Trump's demand for taking drug tests for herself and Biden before the Tuesday debate 
 ",0,0,0,0,0,0,1
" [user5390]: ""Vice President [sic] Biden intends to deliver his debate answers in words. If the President thinks his best case is made in urine he can have at it"", Joe Biden's deputy campaign manager Kate Bedingfield wrote 
 ",0,0,1,0,0,0,0
" [user5390]: ""We'd expect nothing less from Donald Trump, who pissed away the chance to protect the lives of 200K Americans when he didn't make a plan to stop COVID-19,"" she added, Sputnik reported' 
 ",0,0,0,0,0,1,0
" [user5390]: Mehr news points out the strange words coming out of the mouth of Biden the self styled democratic 'aristocrat' of America 
 ",1,0,1,0,0,0,0
" [user5390]: 'Biden previously made a series of strange statements during his public appearances. He recently said he was elected to the Senate 180 years ago, and also mentioned he attended Delaware State University, which the facility denies... 
 ",0,0,0,0,0,0,1
" [user5390]: The ex-vice president also made a mistake, saying that 200 million people had died from coronavirus in the US' 
 ",0,0,0,0,0,0,1
" [user5390]: Curious mistakes... he is probably an immortal for having attended the Senate 180 years ago, and he's wishing the US people dead, for being liberal wackos... or illegal aliens on Native territory...? 
 ",0,0,1,0,1,1,0
" [user5390]: 'Delaware State University denies Biden was a student after claim he 'got started' there' 
 ",0,0,0,0,0,0,1
" [user5390]: That name, Delaware, rings a bell... 
 ",0,0,0,0,0,0,1
" [user5390]: You know, we may have mentioned it... yes, I'm sure we did... maybe we were talking about rude liberals, and druggies... No, no... it was about Harry Potter... right? They had a student article saying men had vulnerable sides to them... 
 ",0,0,1,0,1,1,0
" [user40570]: If UCD still has Dolores Cahill I will not put them on my CAO list. I don't care if it means waiting like 10 years for trinity or like RCSI or something. I will not study medicine at UCD if they have her teaching. I'm autistic and the anti vaxx movement seriously hurts us. 
 ",0,0,0,0,0,0,1
" [user15693]: @user Surely one of the first questions you're asked when you're beginning to study medicine is: ""do you think vaccines work?"" If you answer no, you shouldn't be allowed to study medicine. 
 ",0,0,0,1,0,0,0
" [user28751]: @user @user This is an untried vaccine, the first of its kind to ever be tried on humans, and released in under a year, normal vaccines take 7-10 years to be approved. Why have the makers been granted immunity from legal action? 
 ",0,0,0,0,0,0,1
" [user10131]: @user @user @user One thing is for sure pharmaceutical companies are making big money out of the vaccines 
 ",0,0,0,0,0,0,1
" [user127929]: @user @user ... @user Not strictly true. They make more money from the sales of ordinary medicine. The covid vaccines are being sold at or below cost price to ensure every country gets them, so they are not making money at all. 
 ",0,0,0,0,0,0,1
" [user10131]: @user @user ... @user Bill Gates siad his investment in vaccines was the best investment he ever made pharmaceutical companies are making a fortune out of this now and into the future 
 ",0,0,0,0,0,0,1
" [user10131]: @user @user ... @user Do you trust the vaccines?do you trust Bill Gates?#thegreatreset 
 ",1,0,0,0,0,1,0
" [user127929]: @user @user ... @user Bloody hell. Another wacko conspiracy theorist. Try this on for size. Oh and by the way, I've had both my doses of the Pfizer vaccine, and feeling great. Happy holidays to me 😁 
 ",1,0,0,0,1,1,0
" [user10131]: @user @user ... @user No one knows the long term effects of the vaccine i have had the virus i have antibodies and wont be taken the vaccine which i don't trust 
 ",0,0,0,0,0,0,1
" [user127929]: @user @user ... @user So what in your opinion would be the long term effects of a vaccine that is only around in our bodies for a short time before it has done its work? I'll give you a hint. The answer is in my question. 
 ",0,0,1,0,0,0,0
" [user10131]: @user @user ... @user Bill Gates is on record saying he wants to reduce the world population and he is funding all these vaccines ,infidelity in woman is a big risk Dolores cahill who is well qualified has raised all these issues but is ignored by the mainstream media we should hear experts on both si 
 ",0,1,0,0,0,0,0
" [user4674]: @user @user ... @user Citation needed. 
 ",0,0,0,0,0,0,1
" [user10131]: @user @user ... @user I am no expert but Dolores cahill is and at least deserves to be heard we are never going back to normal even after roll out of the vaccine #thegreatreset #Agenda21 all our freedoms are been erased,loss of private property do you still think this is all about a virus?? 
 ",0,1,0,0,0,0,0
" [user4674]: @user @user ... @user Can you provide sound evidence that Ivermectin demonstrated efficacy in the treatment of COVID? Don't throw that document at me either. 
 ",0,0,0,0,0,0,1
" [user31580]: @user @user ... @user Does anyone know the long term effects of covid on the body? 
 ",0,0,0,0,0,0,1
" [user45977]: @user @user ... @user Research ongoing but Long covid not looking good. Weakening of key organs, general debility, more susceptible to other infections, immune debility, fatigue, depression. Long list 
 ",0,0,0,0,0,0,1
" [user31580]: @user @user ... @user So paddy seems to be missing a key consideration in his risk assessment. Who would have thought with an intelect like his. 
 ",1,0,0,0,0,0,0
" [user40036]: @user @user ... @user Ypu must realise by now what Bill Gates meant Paddy and that you are the actual sheep surely? 
 ",1,0,0,0,0,0,0
" [user10131]: @user @user ... @user All our freedoms are been erased! 
 ",0,1,0,0,0,0,0
" [user40036]: @user @user ... @user Oh dear 
 ",0,0,1,0,0,0,0
" [user45977]: @user @user ... @user Its gonna take some massive rechargeable battery pack to fuel all that. Where will we keep it? In a rucksack on our back? Certainly can't carry it up our jaxxy, too awkward to plug in 🤣 
 ",0,0,1,0,0,0,0
" [user10131]: @user @user ... @user Well at least I can think for myself and I don't believe everything that the fakenews tells me 
 ",1,0,0,0,0,0,0
" [user45977]: @user @user ... @user Dolores would be sooo proud of you 🐏🤣 
 ",1,0,1,0,0,0,0
" [user28751]: @user @user ... @user Would you care to explain the massive increase in covid deaths post vaccine roll out in countries like Israel, Gibraltar, Ireland, Czech republic and Hungary. And despite being open since last September, Florida has not had any noticeable increase in deaths from the virus. 
 ",0,0,0,0,0,0,1
" [user45977]: @user @user ... @user I dont know where you're getting your data from, but it's not from a reliable source. Try @user , @user , John Hopkins Uni etc. And global major medical university and of the fact checking websites etc. Be informed. Be credible 😉 
 ",0,0,0,0,0,0,1
" [user71148]: @user @user ... @user Instead of waiting for proof of vaccine efficacy & safety, cardiologist Dr. Peter McCullough is using repurposed drugs such as IVERMECTIN to cure COVID19 patients. A ""must see"" for anyone who wants an end to the pandemic & lockdowns. TREAT THE PATIENT. 
 ",0,0,0,1,0,1,0
" [user127929]: @user @user ... @user Is that really the best you can come up with, YouTube? Wow. That is scraping the bottom of the barrel. You do realise that Ivermectin is not proven for Covid-19 treatment, why do you think Brazil has been in such a mess? Its manufacturer put out a statement to that effect 
 ",1,0,0,0,0,1,0
" [user20498]: Canada is deeply concerned about the excessive use of force during the ongoing protests in #Nigeria. Those responsible for #HumanRights violations and abuse must be held accountable. 
 ",0,0,0,0,0,0,1
" [user63437]: @user @user ... @user uspoli cdnpoli pnpcbc UKpolitics auspol polcan eupol nzpol ctvpp Josep Borrell explains why the EU is talking about the JCPOA and not respecting the JCPOA! 
 ",0,0,0,0,0,0,1
" [user63437]: @user @user ... @user uspoli cdnpoli pnpcbc UKpolitics auspol polcan eupol nzpol ctvpp In previous years those who were on deaths door were often escorted through by the Flu. This year the Covid19 Flu has taken over from previous strains. Please panic for Pfizer! 
 ",0,0,0,0,0,0,1
" [user63437]: @user @user ... @user uspoli cdnpoli pnpcbc UKpolitics auspol polcan eupol nzpol ctvpp The #GreaterIsrael project has swallowed up most of Palestine, taken a bite out of Syria & briefly occupied parts of Lebanon & Egypt. Israel has bombed nearly a dozen countries including US! 
 ",0,1,0,0,0,1,0
" [user87950]: #Banderastan #Ukraine to buy Turkish drones and warships via @user 
 ",0,0,0,0,0,0,1
" [user63437]: @user @user ... @user uspoli cdnpoli pnpcbc UKpolitics auspol polcan eupol nzpol ctvpp Russian long range radar revealed NATO Warplanes on the Iran border the night Kolomoisky's #Flight752 was mistaken for a military target. Canada was commanding the ISIS NATO Coalition. 
 ",0,1,0,0,0,0,0
" [user63437]: @user @user ... @user uspoli cdnpoli pnpcbc UKpolitics auspol polcan eupol nzpol ctvpp Canadians & some media were eager to blame Trump & Iran. 🇨🇦General Carignan was in command of all NATO ISIS forces in the theatre including those who assassinated 🇮🇷General #Soleimani. 
 ",0,1,0,0,0,0,0
" [user63437]: @user @user ... @user uspoli cdnpoli pnpcbc UKpolitics auspol polcan eupol nzpol ctvpp 🇨🇦 Major General Jennie Carignan was in command of the NATO ISIS Coalition who assassinated 🇮🇷Gen. Soleimani (led the War on ISIS) & threatened to attack Iran the night #Flight752 was downed! 
 ",0,1,0,0,0,0,0
" [user63437]: @user @user ... @user uspoli cdnpoli pnpcbc UKpolitics auspol polcan eupol nzpol ctvpp Canadians are probably wondering about Trudeau's Middle East Strategy? 
 ",0,0,0,0,0,0,1
" [user63437]: @user @user ... @user uspoli cdnpoli pnpcbc UKpolitics auspol polcan eupol nzpol ctvpp What does Canada's Department of Defense think their mission is in the ISIS Coalition? 
 ",0,0,0,0,0,0,1
" [user63437]: @user @user ... @user uspoli cdnpoli pnpcbc UKpolitics auspol polcan eupol nzpol ctvpp What does Canada's Department of Defense think their mission is in the ISIS Coalition? US & Israel created ISIS to wage a covert war on Syria & Iraq. The #GreaterIsrael project. 
 ",0,1,0,0,0,0,0
" [user63437]: @user @user ... @user uspoli cdnpoli pnpcbc UKpolitics auspol polcan eupol nzpol ctvpp Canada provides drone & targeting tech to Caliph Erdogan & Erdogan passes it on to ISIS & #OUN! 
 ",0,1,0,0,0,0,0
" [user63437]: @user @user ... @user uspoli cdnpoli pnpcbc UKpolitics auspol polcan eupol nzpol ctvpp Another 1/2 $Billion of the taxpayer's money up in smoke. What is Trudeau running for this time? 
 ",0,0,0,0,0,1,0
" [user63437]: @user @user ... @user uspoli cdnpoli pnpcbc UKpolitics auspol polcan eupol nzpol ctvpp Who is telling the truth about why the NATO ISIS Coalition is in Iraq? Iran's Gen. Soleimani, Russia, Syria, Iraq & Hezbollah defeated ISIS. Iraq asked the ISIS Coalition to leave. Why are they still there? 
 ",0,0,0,0,0,0,1
